기술지주회사(코드),기준연도,업력년수,설립유형,지역구분,자회사수(신규),자회사 규모,자회사 매출액(평균),자본금 규모 구분,매출액(영업수익),전담인력,총 수입,자회사배당수익,투자조합배당수익,자회사지분매각(일부+전부),국책사업비(정부사업비),"기타 (용역, 컨설팅, 수수료 등)",연도
W,2020,3,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원,2020
X,2020,10,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1천만원미만,1~2명,1천만원미만,0원,0원,0원,0원,3천만원미만,2020
Z,2020,10,단독형,⑤광주/전남/전북,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2020
A,2021,7,단독형,⑥강원,6~8개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,3~5명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,5천만원이상~1억원미만,2021
AA(동아대학교 기술지주),2021,9,단독형,③부산/울산/경남,3~5개사,20개 이상(26개),5억이상~8억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,1천만원이상~5천만원미만,3천만원이상~5천만원미만,0원,2021
AB,2021,0,단독형,③부산/울산/경남,6~8개사,10개 미만,1억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,0원,2021
AC,2021,5,단독형,①서울/경기/인천,0개사,10개이상~20개미만,1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1천만원미만,0원,0원,1천만원미만,0원,0원,2021
AE(부산대학교 기술지주),2021,11,단독형,③부산/울산/경남,1~2개사,20개 이상(34개),3억이상~5억미만,60억이상(71.9억),10억이상~30억미만,0명,30억이상,1천만원미만,1억원이상~5억원미만,5천만원이상,10억이상,5억이상~10억미만,2021
AF(부산지역대학연합기술지주),2021,6,공동형,③부산/울산/경남,1~2개사,20개 이상(41개),8억이상~10억미만,60억이상(162.3억),1억원이상~5억원미만,9명이상(11명),10억이상~30억미만,0원,1억원이상~5억원미만,5천만원이상,5억이상~10억미만,0원,2021
AG,2021,12,단독형,①서울/경기/인천,0개사,10개 미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2021
AH,2021,12,단독형,①서울/경기/인천,0개사,10개이상~20개미만,10억이상~15억미만,40억이상~50억미만,1천만원이상~5천만원미만,0명,0원,0원,0원,0원,0원,0원,2021
AI(서울대학교 기술지주),2021,13,단독형,①서울/경기/인천,1~2개사,20개 이상(41개),15억이상,60억이상(200.0억),30억이상,9명이상(10명),10억이상~30억미만,0원,5억이상~10억미만,0원,5억이상~10억미만,0원,2021
AJ,2021,3,단독형,①서울/경기/인천,1~2개사,10개 미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원,2021
AK,2021,9,단독형,①서울/경기/인천,0개사,10개이상~20개미만,8억이상~10억미만,20억이상~30억미만,1천만원미만,3~5명,10억이상~30억미만,0원,0원,0원,10억이상,0원,2021
AL,2021,9,단독형,①서울/경기/인천,0개사,10개 미만,3억이상~5억미만,20억이상~30억미만,5천만원이상~1억원미만,0명,5천만원이상~1억원미만,0원,5천만원이상~1억원미만,0원,0원,0원,2021
AM,2021,5,단독형,②대전/충남/충북,0개사,10개 미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2021
AN,2021,5,단독형,①서울/경기/인천,1~2개사,10개 미만,1억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,3천만원미만,1천만원이상~5천만원미만,5천만원이상~1억원미만,0원,2021
AO,2021,4,단독형,①서울/경기/인천,0개사,10개 미만,5억이상~8억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,3천만원이상~5천만원미만,0원,3천만원미만,0원,2021
AP,2021,0,단독형,①서울/경기/인천,3~5개사,10개 미만,1억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,0원,0원,2021
AQ(연세대학교 기술지주),2021,10,단독형,①서울/경기/인천,6~8개사,20개 이상(36개),15억이상,60억이상(165.1억),1억원이상~5억원미만,9명이상(15명),10억이상~30억미만,0원,1억원이상~5억원미만,0원,10억이상,3천만원미만,2021
AR,2021,9,단독형,③부산/울산/경남,1~2개사,10개 미만,1억미만,20억이상~30억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원,2021
AT,2021,5,단독형,①서울/경기/인천,3~5개사,10개 미만,1억미만,20억이상~30억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원,2021
AU(인제대학교 기술지주),2021,3,단독형,③부산/울산/경남,3~5개사,20개 이상(22개),1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,5천만원이상,3천만원이상~5천만원미만,3천만원미만,2021
AV(인천대학교 기술지주),2021,12,단독형,①서울/경기/인천,0개사,20개 이상(20개),10억이상~15억미만,40억이상~50억미만,1천만원미만,1~2명,5천만원이상~1억원미만,1천만원이상~5천만원미만,0원,0원,3천만원이상~5천만원미만,0원,2021
AW,2021,3,단독형,①서울/경기/인천,0개사,10개 미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2021
AX(전남대학교 기술지주),2021,10,단독형,⑤광주/전남/전북,3~5개사,20개 이상(36개),3억이상~5억미만,50억이상~60억미만,10억이상~30억미만,9명이상(15명),30억이상,0원,1억원이상~5억원미만,1천만원이상~5천만원미만,10억이상,0원,2021
AY,2021,9,단독형,⑦제주,1~2개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,3천만원미만,1천만원이상~5천만원미만,3천만원이상~5천만원미만,0원,2021
AZ,2021,1,단독형,⑦제주,1~2개사,10개 미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2021
B(강원지역대학연합기술지주),2021,12,공동형,⑥강원,3~5개사,20개 이상(51개),5억이상~8억미만,40억이상~50억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,5천만원이상~1억원미만,2021
